district,state,stCode,dtCode,lat,lon
Thoothukkudi,Tamil Nadu,33,26,8.845281,77.994856
Thoubal,Manipur,14,5,24.478004,93.924321
Thrissur,Kerala,32,7,10.478354,76.273072
Tikamgarh,Madhya Pradesh,23,7,24.998069,78.988734
Tinsukia,Assam,18,10,27.597873,95.570342
Tirap,Arunanchal Pradesh,12,10,26.958025,95.447806
Tiruchirappalli,Tamil Nadu,33,13,10.849291,78.724907
Tirunelveli,Tamil Nadu,33,27,8.780818,77.532593
Tiruppur,Tamil Nadu,33,32,10.789932,77.535561
Tiruvannamalai,Tamil Nadu,33,5,12.425072,79.001491
Tonk,Rajasthan,8,22,26.120225,75.665223
Tuensang,Nagaland,13,7,26.178538,94.911892
Tumkur,Karnataka,29,17,13.418922,76.882102
Udaipur,Rajasthan,8,32,24.4623,73.654909
Udalguri,Assam,18,27,26.7091,92.052342
Udhampur,Jammu & Kashmir,1,19,32.894952,75.334957
Udham Singh Nagar,Uttarakhand,5,12,29.044513,79.436677
Udupi,Karnataka,29,15,13.482844,74.895003
Ujjain,Madhya Pradesh,23,18,23.293813,75.629659
Ukhrul,Manipur,14,8,25.08825,94.434598
Umaria,Madhya Pradesh,23,14,23.644503,80.941295
Una,Himachal Pradesh,2,7,31.585067,76.23627
Unnao,Uttar Pradesh,9,25,26.572967,80.615885
Upper Siang,Arunanchal Pradesh,12,8,28.747088,95.02842
Upper Subansiri,Arunanchal Pradesh,12,5,28.232258,94.107793
Uttar Dinajpur,West Bengal,19,4,25.870226,87.967439
Uttara Kannada,Karnataka,29,9,14.72477,74.64368
Uttarkashi,Uttarakhand,5,1,30.967875,78.633943
Vadodara,Gujarat,24,19,22.314564,73.356092
Vaishali,Bihar,10,18,25.746364,85.399036
Valsad,Gujarat,24,24,20.431503,73.144623
Varanasi,Uttar Pradesh,9,66,25.372781,82.94484
Vellore,Tamil Nadu,33,4,12.733033,78.813186
Vidisha,Madhya Pradesh,23,26,23.846775,77.83645
Viluppuram,Tamil Nadu,33,6,11.975817,79.171684
Virudunagar,Tamil Nadu,33,24,9.491843,77.865764
Visakhapatnam,Andhra Pradesh,28,13,17.896856,82.565733
Vizianagaram,Andhra Pradesh,28,12,18.494589,83.311853
Warangal,Andhra Pradesh,28,9,17.964989,79.594541
Wardha,Maharashtra,27,8,20.82483,78.615729
Washim,Maharashtra,27,6,20.302834,77.243867
Wayanad,Kerala,32,3,11.712979,76.126601
West,NCT of Delhi,7,7,28.654874,77.084263
West,Sikkim,11,2,27.364186,88.188754
West Garo Hills,Meghalaya,17,1,25.579194,90.192924
West Godavari,Andhra Pradesh,28,15,16.901957,81.35204
West Kameng,Arunanchal Pradesh,12,2,27.333999,92.437389
West Khasi Hills,Meghalaya,17,4,25.512339,91.170477
West Nimar,Madhya Pradesh,23,23,21.960813,75.7545
West Siang,Arunanchal Pradesh,12,6,28.297419,94.649767
West Tripura,Tripura,16,1,23.753282,91.400055
Wokha,Nagaland,13,4,26.240155,94.193117
Yadgir,Karnataka,29,26,16.573642,76.925854
Yavatmal,Maharashtra,27,14,20.063972,78.355421
Zunheboto,Nagaland,13,3,26.023065,94.518767
Kabeerdham,Chhattisgarh,22,8,22.113441,81.24476
Yamunanagar,Haryana,6,3,30.214567,77.325389
Jind,Haryana,6,9,29.451072,76.235316
Dausa,Rajasthan,8,11,26.807579,76.428955
Karauli,Rajasthan,8,9,26.516922,77.060454
Sawai Madhopur,Rajasthan,8,10,26.228295,76.306547
Arwal,Bihar,10,38,25.180419,84.673373
Jehanabad,Bihar,10,37,25.155278,85.02813
Nagappattinam,Tamil Nadu,33,17,11.191782,79.697061
Karaikal,Puducherry,34,4,10.915109,79.798326
Puducherry,Puducherry,34,2,11.93306,79.798071
Yanam,Puducherry,34,1,16.7322,82.206907
Tapi,Gujarat,24,26,21.188538,73.556369
Nicobar,Andaman & Nicobar Island,35,1,7.000402,93.810292
South Andaman,Andaman & Nicobar Island,35,3,10.704347,92.488936
North & Middle Andaman,Andaman & Nicobar Island,35,2,12.611585,92.831531
Lakshadweep,Lakshadweep,31,1,11.277189,74.043459
